Name,Link,Address,City,State,Zip,Cans/Bottles,Type,Facebook,Date Open,Date Closed,Open_Closed,Head Brewers,Comment,Full Address,Latitude,Longitude
Highlands Hollow Brewhouse,http://www.highlandshollow.com/,2455 Harrison Hollow Blvd,Boise,ID,83702, ,Brew Pub,https://www.facebook.com/HighlandsHollow?ref=ts&fref=ts,1990,,Open,Chris Compton,Boise's Oldest Brew Pub,2455 Harrison Hollow Blvd Boise ID 83702 ,43.6424259,-116.2087047
Ram Restaurant & Brewery,http://www.theram.com/,709 E Park Blvd,Boise,ID,83712, ,Brew Pub,https://www.facebook.com/RAMBoise,1995,,Open,Jake,National Chain,709 E Park Blvd Boise ID 83712 ,43.6044387,-116.1925
Sockeye Brewing,http://www.sockeyebrew.com/brewery/,12542 W Fairview Ave,Boise,ID,83713,Cans,Brew Pubs,https://www.facebook.com/SockeyeBrew,2003,,Open,"Josh King, Kevin Bolen",1 of 2 Boise locations,12542 W Fairview Ave Boise ID 83713 ,43.6205559,-116.3384275
Payette Brewing Company,http://www.payettebrewing.com/,111 W 33rd St,Boise,ID,83714,Cans,Tap Room,https://www.facebook.com/PayetteBrewing?fref=ts,2010,,Open,"Mike Francis, Ian Fuller ",Idaho's Biggest Brewer,111 W 33rd St Boise ID 83714 ,43.6210567,-116.2389999
Crooked Fence Brewing,http://www.crookedfencebrewing.com/home/,5242 E Chinden Blvd,Garden City,ID,83714,Bottles/Cans,Both,https://www.facebook.com/crookedfencebrewing,2012,,Open,Kris Price,Crooked Fence Barrel House,5242 E Chinden Blvd Garden City ID 83714 ,43.6451761,-116.2712275
Sockeye Production Brewery,http://www.sockeyebrew.com/grill-brewery/,,Boise,ID,,Cans,Brew Pub,https://www.facebook.com/SockeyeBrew2?fref=ts,2012,,Open, ,Sockeye's 2nd Brewery, Boise ID  ,43.6187102,-116.2146068
10 Barrel Brewing,http://www.10barrel.com/,830 W Bannock St,Boise,ID,83702,Bottles ,Brew Pub,https://www.facebook.com/10BarrelBrewingBoise,2013,,Open,Shawn Kelso,"First Brewery was in Bend, OR",830 W Bannock St Boise ID 83702 ,43.6177891,-116.2028679
Woodland Empire Ale Craft,http://woodlandempire.com/,1114 W Front St,Boise,ID,83702, ,Tap Room,https://www.facebook.com/WoodlandEmpire.Ale.Craft?fref=ts,2014,,Open,Rob Landerman, ,1114 W Front St Boise ID 83702 ,43.616471,-116.208926
Edge Brewery,http://www.edgebrew.com/,525 Steelhead Way,Boise,ID,83704,Bottles,Brew Pub,https://www.facebook.com/edgebrewingcompany,2014,,Open,Kerry Caldwell,Community Supported Brewery,525 Steelhead Way Boise ID 83704 ,43.6094424,-116.290935
Cloud 9 Brewery,http://www.cloud9brewery.com/age/index.php,1750 W State St,Boise,ID,83702, ,Brew Pub,https://www.facebook.com/Cloud9Brewery?fref=ts,2014,,Open,Jake Lake,Jake & Maggie Lake - Owners,1750 W State St Boise ID 83702 ,43.6246456,-116.2117225
